,tweets_original,tweets_translater_unicamp,tweets_translater_face,polaridade
10370,Prof Pasquale mostrando q nem sempre conhecer a norma é suficiente. Deu 1 show d desinformação e falta de capacidade reflexiva #Encontro,It took 1 show d misinformation and lack of reflective capaci,Prof Pasquale showing q not always knowing the standard is enough. Deu 1 show d disinformation and lack of reflective ability #Encounter,-1
10371,"#Altashoras ... Feliz dia das mães!!!
Amei o teu bb..Serginhooooooo!!!",Happy day of the mothers!!! I loved your bb,"Happy Mother’s Day, I LOVE YOU!",1
10372,Risoto de sardinha assim vc me mata yuco #MasterChefBR,Sardine risoto so vc kills me anduco #MasterChef,Sardinia Smile So You Kill Me Yuco #MasterChefBR,-1
10373,Se o Vitor sair eu desisto desse programa #MasterChefBR,If Vitor leaves I give up this program #MasterChef,If the Vitor leaves I give up this #MasterChefBR program,-1
10374,"""Jeitinho cafajeste"" ABSJBHZBZJHSJZS #MasterChefBR",ABSJBHZBZJHSJZS #MasterChef,“The Coffee West” ABSJBHZBZJHSJZS #MasterChefBR,0
10375,Tô aqui vendo o #masterchefbr porém ligadinho no horário pro pronunciamento histórico,I am here seeing the #masterchefbr but switch,You are here seeing the #masterchefbr but linked in time for historic pronunciation,0
10376,#MasterChefBR Sigam   ta tendo follow trick neste momento! deem uma força lá👅,give a force there!,#MasterChefBR Follow you having follow trick right now!,0
10377,"Guilherme Arantes é tão foda.. 👏👏
E eu cheguei no final do programa 😢
#Encontro", And I got at the end of the program  #Encon,And I'm so happy to get to the end of the show.,-1
10378,#AltasHoras EITA PROGRAMA BOM GENTE VEM,#AltasHours EITA BOM GENTE VEM PRO,#HighHoras EITA Programs Good People Come,1
10379,Só no #videoshowaovivo a gente vê a cueca do Otaviano ao vivo (e a cores).,"Only in #videoshowaovivo we see Otaviano's cup""",Only on the #videoshowaovivo we see the Otavian coque alive (and the colors).,0
10380,Pênis de boi...quem vai engolir essa? #MasterChefBR,#MasterChefBR,Penis of bees...who will swallow this? #MasterChefBR,0
10381," maior injustiça do #MasterChefBR... mas, muito sucesso ❤️","But, very success ❤️","The greatest injustice of #MasterChefBR... but, great success ❤️",1
10382,paola tem uma implicância fora do comum com a yuko #masterchefbr,The yuko #masterchefbr has an impliedness outside,Paola has an out of common implication with yuko #masterchefbr,0
10383,Sandy está mais linda a cada dia #Encontro,Sandy is better each day #Encontrol,Sandy is more beautiful every day,1
10384,silencio que agora é a Yuko #MasterChefBR,The Yuko #MasterChefBR is now the Yuko #MasterChe,The silence that is now the Yuko #MasterChefBR,0
10385,"Como assim a Yuko é youtuber, oque eu estou fazendo que não estou vendo o canal dela #MasterChefBR","How so Yuko is youtuber, what I am doing I am","As so Yuko is a youtuber, I’m doing that I’m not seeing her channel #MasterChefBR",1
10386,Qual é o cardápio hj da #APrevia hj  ? #MasterChefBR,What is the hj menu of #APrevia hj ? #Master,What is the #APrevia hj card? #MasterChefBR,0
10387,300 mil por show :O CARALHO #ConversaComBial,THE CARD #Conversation-Bial,"300,000 per show: The King #ConversaComBial",-1
10388,#VideoShowAoVivo Fátima Bernardes maravilhosa !!! ... mulher q se ergueu !!,... woman who raised !!,#VideoShowAoLive Fatima Bernardes wonderful!!!... woman q got up!!,1
10389,Paola tá bem atacadaaa #MasterChefBR,Paola is well attackedaa #MasterChefBR,Paola is well attacked #MasterChefBR,0
10390,Todo dia uma vergonha diferente  #MaisVoce,Every day a different shame #HasYour Every day,Every day a different shame #MaisVoce,-1
10391,Gente e o sabor como que tá?  Só tão falando da montagem #MasterChefBR,Just talking about the montage #MasterChefBR,People and the taste like what? just talking about the assembly #MasterChefBR,-1
10392,"a cara da  quando vence uma prova é a coisa mais fofa da face da terra 😍
#MasterChefBR",The face of when a test is won is the most foul th,The face of when it wins a test is the most foolish thing on the face of the earth #MasterChefBR,1
10393,Alinne Moraes em #DuasCaras ! Ela rolando a escada foi épico #VideoShowAoVivo,She rolling the stair was epic #VideoShowAoVivo,Alinne Moraes at #DuasCaras! She rolling the staircase was epic #VideoShowAoVivo,1
10394,   amei ver vcs no #TheNoite com ,I loved to see your studies on #TheNoite,I like to see VCS on #TheNoite with,1
10395,#TheNoite tá no ar,#TheNoite is air under the air #TheNoite is air,The Night is in the Air,0
10396,"#TheNoite #desarmados Ótima entrevista com Bené Barbosa, povo armado se respeita mais.","Great interview with Bené Barbosa, armed people respect each o","#TheNoite #desarmed Great interview with Bené Barbosa, armed people are more respected.",1
10397,Feliz Dias das Mães #DomingoLegal,"Happy Mothers' Days #Happy Happy Mothers' Days #Slee""",Happy Mother's Day #DomingoLegal,0
10398,Sophia Abrahão muito linda #altashoras,Sophia Abrahão very beautiful #high hours,Sophia Abraham very beautiful #altashoras,1
10399,A Ana Maria vestida de unicórnio KAKAKAKAKAKAKAKAKA #MaisVoce,Ana Maria dressed in a unicorn KAKAKAKA,Anna Maria dressed in unicorn KAKAKAKAKAKAKA #MaisVoce,-1
10400,"VAI COMEÇA O MASTER CHEFFF 
#MasterChefBR",HAI HAI HAI HAI HAI HAI HAI HAI HAI H,Start the Master Chef #MasterChefBR,0
10401,Trabalhando e assistindo essa Diva maravilhosa da  #AltasHoras ❤️❤️❤️❤️❤️,Working and watching this wonderful Diva of #Hour,Working and watching this wonderful Diva of #AltasHoras ❤️❤️❤️❤️,1
10402,"Se a #EquipeAzul não ganhar, vai abrir chance pra Mirian ficar mais uma semana. #MasterChefBR","If #Azul team does not win, it will o","If #EquipeAzul doesn’t win, it will open a chance for Mirian to stay another week. #MasterChefBR",0
10403,#thenoite   boletim de segunda sempre ótimo,The night night weekday weekly weekly we,#Tenoite Second Bulletin Always Great,1
10404,Feliz dias das mães! #altashoras,Happiness days of mothers! #high hours,Happy Birthday to the Mother! #Altashoras,1
10405,sessão #MasterChefBR 😍, #MasterChefBR session #MasterChefBR ,Session #MasterChefBR,1
10406,Que homem é esse? QUE HOMEMMM!!! Isso é um hino... #thenoite,This is a hymn... #the evening #the night,What is this man? what HOMEMMM!!! that’s a hymn... #thenoite,1
10407," o que um unicórnio  come?
Nuvem!!! #MaisVoce",Nuve!!! #ThreeYoung!!! #ThreeYoung!,What does a unicorn eat? cloud!!! #MaisVoce,0
10408,Já tô aqui assistindo #AltasHoras pq amanhã não vou trabalhar mesmo! 😗,I am here watching #TestHours pq tomorrow,I'm going to be here to watch #AltasHoras pq tomorrow I'm not going to work really!,0
10409,Esse leonardo é insuportavel e falso  #MasterChefBR,This leonardo is insurportable and false #MasterChefBR This,This leonard is unbearable and false #MasterChefBR,-1
10410,"Um beijo pr vc Sophi
#VideoShowAoVivo",A kiss pr vc Sophi #VideoShowAoVivo,A Kiss by VC Sophi #VideoShowAoVivo,1
10411,Que agoniiiiia #MasterChefBR,#MasterChefBR,What is #MasterChefBR,-1
10412,"  Kkkkkkkkkkkkkkkkkkkk não vem hein kkkkkkk foi muito bom kkkkk 
#TheNoite",Hein kkkkkkkkkkkkkkkkk,Kkkkkkkkkkkkkkkkkk don't come hein kkkkkkk was very good kkkkk #TheNoite,1
10413,A poderosa Fátima Bernardes #VideoShowAoVivo,The powerful Fátima Bernardes #VideoShowAoVideoEyeye,The powerful Fatima Bernardes #VideoShowAoVivo,1
10414,Arigatô #altashoras,Arigatô #high hours,by Arigato #altashoras,1
10415,"Débora Lam 😍, pois astrologia #Encontro",", because astrology #Encontrol","Débora Lam 😍, because astrology #Encounter",1
10416,O que fazer quando você não quer que nenhum que estão na prova de eliminação saia? #MasterChefBR,#MasterChefBR,What to do when you don’t want any of those in the elimination test to go out? #MasterChefBR,-1
10417,"DEIXA OS DOIS EU IMPLORO BAND CANCELA
#MasterChefBR","I'm IMPLOY BAND CANCELA #MasterChefBR""",Leave the Two I'm Implore Band Cancelled #MasterChefBR,-1
10418,Assisto vcs todos os dias um bjo aqui de Goiânia #VídeoShowAoVivo,We watch vcs every day a bjo here from Goiânia #,I watch VCS every day a Boo here from Goiânia #VideoShowAoVivo,1
10419,"Por que o Augusto Cury tá falando de mim na Globo?
Eu tenho TODOS os sintomas de ""ansiedade exagerada"".
#ConversaComBial #AugustoCury","I have ALL the symptoms of ""excessive an","Why does August Cury talk about me on the Globe? I have ALL the symptoms of ""exaggerated anxiety."" #ConversaComBial #AugustoCury",0
10420,Que coisa linda Nando falando da Vânia 💙💙💙💙💙💙 #NandoReisNoEncontro #encontro,What a beautiful thing Nando talking about Vânia ,What a beautiful thing Nando speaking of Vania <unk> <unk> <unk> #NandoReisNoMeet #Meet,1
10421,Elas tão beeem perdidas nos gêneros musicais heim #ConversaComBial,They are so beeem lost in musical genres heim #Conversa,They so beeem lost in the music genres heim #ConversaComBial,-1
10422,"O capitão do azul ta metendo a mão no frango e na boca e depois no frango de novo, eca #MasterchefBR",The Captain of Blue is handling the chicken and mouth and then the,The Captain of the Blue is putting his hand on the chicken and on the mouth and then on the chicken again. #MasterchefBR,-1
10423,"O Vitor B tem coragem, é tipo o berranteiro #MasterChefBR","Vitor B has courage, it is like the snakedowner","The Vitor B has courage, it’s like the #MasterChefBR",1
10424,Os cara como sem camisa assim? Normal? Só mais um dia de inverno #MasterChefBR,Only one more winter day #MasterChefBR #Master,The guy like no shirt like that? normal? just another day of winter #MasterChefBR,0
10425,"Viva o amorrrrr, não posso ver um pretinho que me tremo toda #Encontro","Live the amorrrr, I cannot see a snap that sha","Live the amorrrrr, I can't see a black man who trembles me all",0
10426,#VídeoShowAoVivo kkkk sei não essa mãe de leo e uma onda,"I don't know this mother of leo is a wave""",#VideoShowAoVivo kkkk I know not that Leo mother and a wave,0
10427,Enquanto tá no intervalo vou me descolar até o quarto e ver a decisão dos chefs naquela TV minúscula de 24 polegadas 😒 #MasterChefBR,While this is in the break I will detach my,As it is in the interval I’m going to go to the room and see the chefs’ decision on that 24-inch mini TV  #MasterChefBR,-1
10428,Daqui a pouco tem #MasterChefBr e nós tem escondidinho,From now on there is about #MasterChefBr and ,Soon there’s #MasterChefBr and we’re hidden,0
10429,Homenagem mais que merecida para  parabéns #VideoShowAoVivo,Congratulations #VideoShowAoVivi,More than deserved honor to congratulate #VideoShowAoVivo,1
10430,"meu vitor b ficou entre os melhores, to bem feliz sim #MasterChefBR","My biggest b victor b was among the best, I am","My vitor b was among the best, to very happy yes #MasterChefBR",1
10431,"Era só servir frango com batata doce, os Maromba piram

#MasterChefBR","It was only to serve chicken with sweet potatoes,","It was just serving chicken with sweet potato, the Maromba piram #MasterChefBR",0
10432,"Tadinho KKKKKKKKKKKKKKKKKKKKKKKKK
#TheNoite",TheNoite KKKKKKKKKKKKKKKK,The Day of Judgment,1
10433,Imagino o nude dessa pessoa #Encontro,I imagine the nude of this person #I meet there,I imagine the naked of this person #Meet,0
10434,"#MasterchefBR Poxa, Vitor B, q vacilo... Muito triste aqui por vc...
Não merecia sair...","It was very sad here for you... I didn'""","I'm not sure I'm going to do it, I'm not sure I'm going to do it.",-1
10435,gente eu queria que fosse a Míriam mas acho que vai ser o Douglas ele foi mal hj #masterchefbr,"We think it's going to be Douglas he was bad hj""",People I wanted it to be Miriam but I think it will be Douglas he was bad hj #masterchefbr,-1
10436,"Acho que o ""quase"" filho da Giuliana é o ator que interpreta o Zac de #RockStory! #VídeoShowAoVivo","I think Giuliana\'s ""almost"" son is the actor","I think Giuliana's "" almost"" son is the actor who plays Zac of #RockStory! #VideoShowAoVivo",0
10437,Ñ me conformo! O #AltasHoras é uma farsa. Ñ é altas horas. Vtnc!,#AltasHours is a burden. It is not high hour,The #AltasHoras is a farce. Ñ is high hours. Vtnc!,-1
10438,"Maluma tudo de bom ... 😍😍
#TheNoite", #TheNoite,It’s all good. 😍😍 #TheNight,1
10439,Tô mt impressionada com a rapidez com que os vídeos estão sendo disponibilizados no YT. #MasterChefBR 👏🏾👏🏾👏🏾,#MasterChefBR ,To mt impressed with the speed with which the videos are being made available on YT. #MasterChefBR 👏👏👏👏👏,1
10440,"Olha só! E para minha surpresa, o #VideoShowAoVivo começou com uma linda cena do Nelson Xavier em #AnjoMau. Foram poucos lindos capítulos.","And for my surprise, #VideoShowAoVivo began","And for my surprise, the #VideoShowAoVivo started with a beautiful scene by Nelson Xavier in #AnjoMau.",1
10441,#ConversaComBial poderia interagir com o público! #UmaIdeia #SóAcho,#UmaIdea #SóAcho I think I could intera,#ConversaComBial could interact with the public! #UmaIdeia #SóAcho,-1
10442,Esse rapaz dançando no #AltasHoras ´. Dança tudo!  Kkkkkkkkkkk,Dance everything! Kkkkkkkkkkkk,This boy dancing at #AltasHoras ́. dance everything!,1
10443,Olha estamos aqui so pra saber se Vitor B continua #MasterChefBR,"Look, we are here to know if Vitor B continues #",We’re here to find out if Vitor B continues #MasterChefBR,0
10444,Saudades da  no Brasil.😭😍 #DomingoLegal,#DomingoLegal,You are here: Home #DomingoLegal,-1
10445,É muita emoção pra mim #MasterChefBR,"It's a lot of emotion for me #MasterChefBR""",It's a lot of excitement for me #MasterChefBR,1
10446,Tô amando te assistir no #altashoras  😍😍😍,I am loving you and watching you in #high-times ,I love to see you at #Altashoras.,1
10447," Eu também lembro, amava esse corte kkkk toda Demi Moore #VideoShowAoVivo","I also remember, she loved this cut kk","I also remember, I loved this cut kkkk all Demi Moore #VideoShowAoVivo",1
10448,Sacolé na minha cidade é laranjinha #VideoShowAoVivo,"In my city, laranjinha is a town in my city",Sacole in my city is orange #VideoShowAoVivo,0
10449,"Ain meu sem oooor, eu ligo a TV e já dou de cara com a Ana Maria Braga vestida de unicórnio, qtácontecendo?! #MaisVoce 
Ps: Mas achei fofa!",I turn on TV and I already smile with Ana Maria Braga d,"I’m not going to be able to do it, but I’m not going to be able to do it, I’m not going to be able to do it, I’m not going to be able to do it.",1
10450,Cadê você Fátima? #VideoShowAoVivo,#VideoShowAoVivo,Where are you Fatima? #VideoShowAoVivo,-1
10451,Esse programa #Encontro de hoje me fazendo chorar horrores,This #Encontro program today making me cry horrors This program #En,This #Today Meeting Program makes me cry horrors,1
10452,O SBT gosta de me iludir..Eu q pensava que o DL ia ser esticado hoje 😢 Pede pro Silvio esticar  #DomingoLegal,I thought that the LD would be stretched today ,The SBT likes to delude me..I q thought the DL would be stretched today <unk> Ask for Silvio to stretch #DomingoLegal,-1
10453,o Vitor é meu orgulho #MasterChefBR,Vitor is my pride #MasterChefBR,The Vitor is my pride #MasterChefBR,1
10454,"Bom, se Victor ficar a gente já pode ir pras ruas e protestar. Vai ser a coisa mais ridícula do mundo #MasterChefBR",It will be the most ridiculous thing in the world #,"Well, if Victor stay us can already go pras streets and protest. It will be the most ridiculous thing in the world #MasterChefBR",-1
10455,#ConversaComBial muito boa hoje com Rodrigo Santoro! ❤️👏🏻,❤️,This is a very good day with Rodrigo Santoro.,1
10456,Catra fala e eu não entendo porra nenhuma. #TheNoite,"#TheNoite speaks and I don't understand a""",Catra speaks and I don't understand any. #TheNoite,-1
10457,Já levei um spoiler aqui na timeline #MasterChefBR,"I've taken a spoiler here in the timeline #MasterChe""",I've got a spoiler here on the #MasterChefBR timeline,0
10458,"já foi paola p prévia, agora fogaça, só falta os dois juntos! #MasterChefBR",#MasterChefBR,"It’s been paola p previously, now flee, just miss both together! #MasterChefBR",-1
10459,Estou começando a gostar e muito da  e a simpatizar com a  😊👍 #MasterChefBR,I am starting to like and a lot of and to become ,I'm starting to like and much of it and to sympathize with 😊👍 #MasterChefBR,1
10460,#MaisVocê  me doa seu pijama?,#How do you give me your pyjama?,Do you give me your pijama?,1
10461,"#encontro quando o Guilherme Arantes começou a cantar essa música, saí correndo pra aumentar o volume",I ran to increase the volume when Guilherme Arantes began to sing,"When Guilherme Arantes started singing that song, I ran out to increase the volume.",1
10462,queria ser amigo do  pq ele parece ter vários conselhos legais #ConversaComBial,He seems to have several legal advices #ConversationBial,He wanted to be a friend of pq he seems to have several legal advice #ConversaComBial,1
10463,"Agora vamos.  Quem dormir primeiro e mulher de padre.  
#partiudormir
#conversacombial",Who sleep first and a woman of a priest. #,Who's sleeping first and the priest's wife. #partiudormir #conversacombial,0
10464,GENTE TA FALTANDO A CLASSICA SEGURA O TCHAN AMARRA O TCHAN OU EU PERDI? #AltasHoras,#Time of day,People missing the classic is sure the TCHAN will love the TCHAN or I lost?,-1
10465,Estou eu assistindo o #VideoShowAoVivo quando passa uma cena de rockstory e eu percebo q uma das figurantes é uma colega de faculdade!kkkkkk,I am watching the #VideoShowAoVivo when a,I'm watching the #VideoShowAoVivo when a rockstory scene passes and I realize that one of the figures is a college colleague!kkkkkkkk,0
10466,Cabou #ProgramaDoPorchat vamos de #TheNoite,We are going to #TheNoiteNoiteNoiteNoiteNoiteNo,Cabo #ProgramaDoPorchat go from #TheNoite,0
10467,"SAI MIRIAN VOLTA VITOR

#MasterChefBR",#MasterChefBR,SAI MIRIAN VITOR #MasterChefBR,-1
10468,"Ana Paula todo dia quer comer, agora nessa prova quer sair de fininho né kkkkkk #MasterChefBR","Ana Paula every day wants to eat, now in thi","I'm not sure if I'm going to have a lot of money, but I'm not sure if I'm going to have a lot of money.",-1
10469,Que babado é esse que a Ana Luiza ja foi cozinheira e por isso foi eliminada? #MasterChefBR,#MasterChefBR What babdo is this that Ana Luiza ha,What is it that Ana Luiza has already been a cook and that’s why she has been eliminated? #MasterChefBR,0
10470,"Assistindo #MasterChefBR de novo, só p passar raiva mais uma vez com a eliminação do  prq sou dessas q gosta de sofrer bastante",I am these who like to suffer a lot of hardship.,"Watching #MasterChefBR again, just p pass angry again with the elimination of the prq I am of those q likes to suffer quite a lot",-1
10471,#VideoShowAoVivo Sou nordestino e Nelson Xavier me representou como ninguém no papel de Lampião!,I am northeastern and Nelson Xavier represented me like no o,#VideoShowAoVivo I am Nordestine and Nelson Xavier represented me like no one in the role of Lampion!,1
10472,Preciso ir de novo num show do Nando Reis. #Encontro,#Control I need to go again at a Nando Reis ,I need to go again at a Nando Reis show.,1
10473,irmãs Galvão são as melhores. Adorei a animação delas  #Encontro,"I love their animation #I meet them, siblings",I'm very happy with you. - I love you. - I love you. - I love you.,1
10474,"#Encontro ontem vi na rua um casal onde a menina tem Down e o rapaz é ""normal"" e ele a tratava com tanto carinho, deu até vontade de chorar.",I found on the street a couple where the girl has,"I met yesterday I saw a couple on the street where the girl has Down and the boy is “normal” and he treated her with so much affection, gave even the will to cry.",1
10475,É hoje que a Mirian vai pra casa #SaiMirian #FicaVitorB #MasterChefBR,It is today that the Mirian goes home #SaiMirian #Fica,It's today that Mirian goes home #SaiMirian #FicaVitorB #MasterChefBR,0
10476,Alô    tem especial de 30 anos da Praça no #TheNoite hj. Bora divulgar,TheNoite hj. Bora discloses 30 years of squa,Allo has special 30 years of the Square at #TheNoite hj. Bora disclose,1
10477,Marcelo kkkkkkkkkkk #VideoShowAoVivo,Marcelo kkkkkkkkkkkkkkkkkk,by Marcelo kkkkkkkkk #VideoShowAoVivo,0
10478,"Nem o Roger não deu nome pra guitarra dele... não me sinto mais tão ""sem criatividade"" por não dar nome aos meus instrumentos 😂 #TheNoite","I don\'t feel so ""no creativity"" for not gi",Even Roger didn’t give name to his guitar... I don’t feel so “without creativity” for not giving name to my instruments 😂 #TheNoite,1
10479,E a maioria dos cenários de talk shows tem foto de cidade no fundo 🌃 🌃 #ConversaComBial,Most talk shows scenarios have a city photo a,And most talk shows scenarios have city photo in the background   #ConversaComBial,0
10480,Low carb só ia dar o escondidinho de frango com creme de couve-flor #MasterChefBR #MasterChef,The poultry sconditioning with kale-flower cream ,Low-carb will only give the hidden chicken with flower-cover cream #MasterChefBR #MasterChef,0
10481,Hoje tem frango com baba do Victor na equipe azul! #MasterChefBR,"#MasterChefBR Today there is chicken with Victor's bab in""",Today has chicken with Victor's baby in the blue team! #MasterChefBR,-1
10482,q zé ruela esse mc q tá passando no #VideoShowAoVivo,q zé ruela esse mc q tá passando no #Video,I'm not sure if you're going to get a lot of money and you're going to get a lot of money.,-1
10483,"Ei, Video Show. É Kikão e não Quicão.  #VideoShowAoVivo",#VideoShowAoVideoVideoShowAoVideo,It’s Kickon and not Kickon. #VideoShowAoVivo,-1
10484,Ana Maria será um obstáculo. Será que vem mais um meme aí? #MaisVoce,Is there more a meme there? #MoreYoungness,It’s going to be an obstacle. can there be another meme there? #MaisVoce,0
10485,"#MaisVoce  o FGTS não  é  descontado do funcionário. Informação  equivocada, avisa a Ana.","Information wrong, warnings Ana.","#MaisVoce the FGTS is not discounted from the employee. incorrect information, warns Ana.",-1
10486,"Quero ver a Usurpadora ""Gabriela Spanic"" no #thenoite","I want to see the ""Gabriela Spanic"" Usurpator in","I want to see the Usurpadora ""Gabriela Spanic"" on #thenoite",-1
10487,Que tensão meu deus  #MasterChefBR,What tension my god has on my hand #MasterChef,What tension my god #MasterChefBR,-1
10488,Fátima botando as pernas pra jogo... #VideoShowAoVivo,#VideoShowTheoVideoYourVideoYourVide,Fate throwing the legs to the game... #VideoShowAoVivo,0
10489,"Fátima Bernardes, eu te venero! Ícone da tv brasileira. #VideoShowAoVivo",#VideoShowAoVideoVideoShowAoVideo,"Fatima Bernardes, I'm blessing you! #VideoShowAoVivo",1
10490,Acabou o jogo mudei pro #MasterChefBR e tô tentando entender o programa mas tamo aí!,"I've been trying to understand the program but I'""",I've finished the game I've changed for #MasterChefBR and I'm trying to understand the program but there!,-1
10491,ele poderia falar o pq de se chamar nina #ConversaComBial,He could speak the qp of calling nina #ConversaCom,He could talk to pq to call himself nina #ConversaComBial,-1
10492,Não acredito que a Douglas saiu do #MasterChefBR aff,"I don't think Douglas came out of the #MasterChef""",I don't believe that Douglas left #MasterChefBR aff,-1
10493,"#ConversaComBial Santoro é inteligente , determinado ,talentoso  admiro demais esse ator ","Santoro is intelligent , determined ,talentous I admi","It’s a good thing to do, but it’s a good thing to do, and it’s a good thing to do.",1
10494,#MasterChefBR uma perda forte no programa. Mas o erro tem seu preço é consequência.,But the error has its price as a consequence.,#MasterChefBR a strong loss in the program. but the error has its price is a consequence.,-1
10495,Alguem avisa a ana maria q o Fgts é obrigaçao do empregador...nao é descontado do trabalhador n...desse só o inss.#MaisVoce,Another thing tells the ana maria that the Fgts is,There are many different types of cookies that can be used in order to ensure that you have access to our website.,-1
10496,"Mongólia tem o gosto ousado. Seria uma bela informação pro trabalho que fiz na 2ª série, não achava quase nada sobre. #MasterChefBR",It would be a beautiful information for the work I did,"It would be a good job information I did in the 2nd series, I didn't find almost anything about. #MasterChefBR",-1
10497," Eu nem estou assistindo essa temporada do #MasterChefBR , mas quero que vc ganhe *-----*",I am not watching this season of #MasterChe,"I’m not watching this #MasterChefBR season, but I want you to win *-----*",1
10498,Nunca ouviram falar em assar o frango no alumínio não? Fala sério. #MasterChefBR,"Never heard about boiling the chicken in aluminium? Let'""",You’ve never heard of putting the chicken in aluminium right? #MasterChefBR,-1
10499,"ansiedade a milhão, socorro 🤦🏻‍♀️💜💜 😍😍
  
#MaiaraeMaraisaNoBial 
#ConversaComBial", ♀️  #MaiaraeMaraisaNoBial,"I think it’s a good thing to do, but I think it’s a good thing to do.",1
10500,Eles falaram q iam tirar pelo paladar affff #MasterChefBR,They said they would take them out of their ta,They talked q iam take by the paladar affff #MasterChefBR,-1
10501,"socorro!!!  e  tentando esconder quem vai estar #NoMeuVideoÉShow. Ontem Sophia disse ""Fátima Bernardes"" #VideoShowAoVivo","Yesterday Sophia said ""Fátima Bernardes"" #VideoShowA","Help!!! and trying to hide who will be #NoMeuVideoEShow. Yesterday Sophia said ""Fatima Bernardes"" #VideoShowAoVivo",0
10502,Morri de rir vendo o #TheNoite agora kkkk,Morri de laugh seeing #TheNoite now kkkk,I died of laughing watching #TheNoite now kkkk,1
10503,Nao acredito nisso 😬😬😬😬😬 #ConversaComBial,#ConversationComBial,I don't believe it  #ConversaComBial,-1
10504,"#VideoShowAoVivo
Eu acho jamais existirà
Um apresentador igual
Ao #Saudoso Chacrinha",I think there will never exist an anchor equal to,#VideoShowAoLive I think there will never be A presentator like #Saudoso Chacrinha,1
10505,"Hoje tem TRETA, mores. #MasterChefBR",#MasterChefBR,Today is the third day. #MasterChefBR,0
10506,Boa noite!! #AltasHoras 📺,#Good night!! #Good night ,Good night!  ,0
10507,VACA CORNIO KKKKKKKKK #MaisVoce,KKKKKKKKK #MaisVoce TRANSS K,VACA CORNIO KKKKKKK #MaisVoce,0
10508,gente quem passa calcinha? pfvr né não passo nem camisa  #MaisVoce,"We who wear calcinha? pfvr right I don't""","I'm not going to wear a shirt, I'm not going to wear a shirt, I'm not going to wear a shirt, I'm not going to wear a shirt, I'm not going to wear a shirt.",-1
10509,Começou #TheNoite,TheNoite has begun #TheNoite,Started by #TheNoite,0
10510,Pessoas que estão chorando assistindo  me add pfvr #MasterChefBR,People who are crying assisting me add pfvr,People who are crying watching me add pfvr #MasterChefBR,0
10511,#MasterChefBR tô chorando,"I'm crying #MasterChefBR I'm crying #""",#MasterChefBR is crying,-1
10512,"*Eterno Wando, ficara marcado para sempre na Memória..♡ #VideoShowAoVivo","#VideoShowAoVivivivi, it will be marked",It is the most important thing that you can do when you’re going to get to the end of your life.,1
10513,"Pelo amor de deus, tira esse tradutor das entrevistas, coloca legenda  #thenoite","From the love of god, this translator takes this","For the love of God, take this translator out of the interviews, put the legend #thenoite",-1
10514,#MaisVoce Hebe era uma pessoa iluminada todos queriam estar com ela,Everyone wanted to be with her #ByYour Hebe was,#MaisVoce Hebe was an illuminated person everyone wanted to be with her,1
10515,O #MaisVoce encerrando com #HotterThanHell da  😍,The #MaisVoce closing with #HotterThanHell of ,The #MaisVoce ending with #HotterThanHell,1
10516,Faz logo essa repescagem e trás o Vitor B de volta em nome de Jesus #MasterChefBR,It just does this re-re-re-re-re-re,Make this replace soon and back the Vitor B back in the name of Jesus #MasterChefBR,-1
10517,#ConversaComBial já começou bem!,#ConversationComBial has already begun well!,#ConversaComBial has already started well!,1
10518,Começou a reprise do #MasterChefBR.  Preciso assistir pq só vi o finalzinho terça feira.,I need to watch pq I only saw the end Tuesday,I'm going to see the #MasterChefBR. I need to watch pq only I saw the final on Tuesday.,0
10519,"#MasterChefBR fica Victor B. Vc é o cara,força vai nessa.","Vc is the guy,force goes in this.","#MasterChefBR becomes Victor B. Vc is the guy, strength goes in that.",1
10520,"Ju Paes é mais linda, pq é linda por dentro e tá nem aí pras olheiras hahaha #VideoShowAoVivo","It is more beautiful, because it is beautiful in","It’s more beautiful, it’s more beautiful, it’s more beautiful, it’s more beautiful, it’s more beautiful, it’s more beautiful, it’s more beautiful, it’s more beautiful, it’s more beautiful.",1
10521,Se mexer com o Fabrizio eu vou atacar viu? #MasterChefBR,"If I move with Fabrizio I'll attack you? #MasterChe""",If I move with the Fabrizio I’m going to attack see? #MasterChefBR,1
10522,Acordar com o  😍 #EDeCasa #Saulo,Awake with the  #EDeCasa #Saulo Awake with the,"It’s a good thing to do, but it’s a good thing to do.",1
10523,esperando os dias em que a Mirian e o Leonardo vao sair #MasterChefBR,While the days when Mirian and Leonardo are going to leave,Waiting for the days when Mirian and Leonardo are going to leave #MasterChefBR,-1
10524,Pegava esse ator #thenoite,Pegava this actor #thenoite,It was the actor #thenoite,1
10525,É a Fátima Bernardes #VideoShowAoVivo,Fátima Bernardes #VideoShowAoVivo is Fátima Bernardes #Vide,It's Fatima Bernardes #VideoShowAoVivo,0
10526,Gosto tanto do #Fernando não queria ele na equipe do #Leonardo sempre torço pra ele se ferrar. #MasterChefBR,I like it so much #Fernando did not want him in,I like #Fernando so much I didn't want him in #Leonardo's team I always want him to get rid. #MasterChefBR,0
10527,"Já estou vendo o #MasterChefBR , dahora","I'm already seeing the #MasterChefBR , da""","I'm watching the #MasterChefBR, dahora",1
10528,Taís Araújo não comeu abóbora mas escutou muita abobrinha no #MaisVocê,Taís Araújo did not eat a pumpkin but heard a ,Taís Araújo did not eat abobora but he heard a lot of abobrinha at #MaisVocê,-1
